Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S279853987,Crested Duck,Lophonetta specularioides,441,X,BO-P,,L2763701,Laguna Colorada,-22.1963885,-67.7774123,2025-10-04,02:01 PM,eBird - Stationary Count,45,1,,,2
S271741426,Crested Duck,Lophonetta specularioides,441,X,PE-ANC,,L34587303,Laguna Jahuacocha,-10.2367433,-76.9576636,2025-08-29,08:00 AM,eBird - Traveling Count,600,1,12.87,,2
S276086196,Muscovy Duck,Cairina moschata,445,1,BO-L,,L10094773,Madidi Jungle Ecolodge,-14.553154,-67.696909,2025-09-25,09:02 AM,eBird - Traveling Count,180,1,16.09,,3
S162833559,Cotton Pygmy-Goose,Nettapus coromandelianus,449,4,KH-8,,L4059088,Boeng Veal Samnap,11.600686,105.0534163,2024-02-23,11:34 AM,eBird - Traveling Count,300,1,16.093,,3
S263713554,Wood Duck,Aix sponsa,455,1,CA-BC,Central Okanagan,L459862,Kelowna--Munson Pond,49.8640484,-119.4603539,2025-07-26,04:13 PM,eBird - Stationary Count,15,1,,,2
S296081577,Wood Duck,Aix sponsa,455,8,CA-BC,Metro Vancouver,L843052,Burnaby Lake--Piper Spit,49.2420768,-122.9354453,2026-01-24,01:24 PM,eBird - Traveling Count,100,1,4.51,,2
S294413511,Wood Duck,Aix sponsa,455,6,CA-BC,Metro Vancouver,L196159,Vancouver--Trout Lake (John Hendry Park),49.255958,-123.062325,2026-01-15,04:08 PM,eBird - Traveling Count,30,1,.8,,2
S298148373,Wood Duck,Aix sponsa,455,2,CA-BC,Metro Vancouver,L196159,Vancouver--Trout Lake (John Hendry Park),49.255958,-123.062325,2026-02-04,04:21 PM,eBird - Traveling Count,30,1,1.29,,2
S241707907,Mandarin Duck,Aix galericulata,457,2,JP-20,Nagano,L9427318,長野市--戸隠森林植物園--小鳥池 (Nagano--Togakushi Forest--Kotori-ike Pond),36.743127,138.079639,2025-05-23,03:48 PM,eBird - Traveling Count,180,1,8.047,,2
S272217961,Torrent Duck,Merganetta armata,468,4,PE-CUS,,L2456077,Santuario Historico Machu Picchu--Chachabamba,-13.186349,-72.5100607,2025-09-04,03:00 PM,eBird - Traveling Count,70,1,32.19,,4
S263713368,Blue-winged Teal,Spatula discors,485,7,CA-BC,Columbia-Shuswap,L3337724,Salmon Arm--Nature Bay Trail (To Christmas Island),50.7093682,-119.271183,2025-07-26,01:00 PM,eBird - Traveling Count,70,1,2.09,,2
S193639941,Blue-winged Teal,Spatula discors,485,50,US-SD,Turner,L36275508,284th Wetlands,43.2707298,-97.3943209,2024-09-01,07:41 PM,eBird - Traveling Count,60,1,1.609,,1
S159033936,Cinnamon Teal,Spatula cyanoptera,487,2,US-CA,Monterey,L1152129,Elkhorn Slough--Strawberry Road pond only,36.8295421,-121.7307107,2024-01-15,09:27 AM,eBird - Stationary Count,15,1,,,2
S172336031,Cinnamon Teal,Spatula cyanoptera,487,1,US-CA,Yolo,L448084,Woodland WTP,38.6624345,-121.7173585,2024-05-05,04:10 PM,eBird - Traveling Count,104,1,1.837,,1
S272213941,Cinnamon Teal,Spatula cyanoptera,487,8,PE-LIM,,L855862,Refugio de Vida Silvestre Los Pantanos de Villa--Laguna Costera y Playa Marvilla,-12.2243504,-76.9878852,2025-08-17,08:00 AM,eBird - Traveling Count,57,1,.64,,2
S268113949,Cinnamon Teal,Spatula cyanoptera,487,6,PE-LIM,,L1280581,Refugio de Vida Silvestre Los Pantanos de Villa--Laguna Génesis,-12.2110124,-76.987896,2025-08-18,10:40 AM,eBird - Traveling Count,50,1,.8,,3
S272214703,Cinnamon Teal,Spatula cyanoptera,487,10,PE-LIM,,L5827112,Refugio de Vida Silvestre Los Pantanos de Villa--Laguna Sur,-12.2186683,-76.984401,2025-08-18,11:20 AM,eBird - Traveling Count,40,1,.97,,2
S155071901,Northern Shoveler,Spatula clypeata,501,300,US-CA,Glenn,L837268,Sacramento NWR--Auto Route & Visitor Center,39.4284385,-122.1564999,2023-11-23,10:44 AM,eBird - Traveling Count,83,1,7.91,,2
S294413511,Northern Shoveler,Spatula clypeata,501,9,CA-BC,Metro Vancouver,L196159,Vancouver--Trout Lake (John Hendry Park),49.255958,-123.062325,2026-01-15,04:08 PM,eBird - Traveling Count,30,1,.8,,2
S298148373,Northern Shoveler,Spatula clypeata,501,4,CA-BC,Metro Vancouver,L196159,Vancouver--Trout Lake (John Hendry Park),49.255958,-123.062325,2026-02-04,04:21 PM,eBird - Traveling Count,30,1,1.29,,2
